user_id_reviews,posted,recommend
76561197970982479,"November 05, 2011",True
76561197970982479,"July 15, 2011",True
76561197970982479,"April 21, 2011",True
js41637,"June 24, 2014",True
js41637,"September 08, 2013",True
js41637,"November 29, 2013",True
evcentric,,True
evcentric,"December 04, 2015",True
evcentric,"November 03, 2014",True
evcentric,"October 15, 2014",True
evcentric,"October 15, 2014",True
evcentric,"October 15, 2014",True
doctr,"October 14, 2013",True
doctr,"July 28, 2012",True
doctr,"June 02, 2012",True
doctr,"June 29, 2014",True
doctr,"November 22, 2012",True
doctr,"February 23, 2012",True
maplemage,"April 15, 2014",True
maplemage,"December 23, 2013",True
maplemage,"March 14, 2014",True
maplemage,"July 11, 2013",True
Wackky,"May 05, 2014",True
Wackky,"December 24, 2012",True
Wackky,"October 21, 2012",True
Wackky,"March 20, 2012",True
Wackky,"March 09, 2012",True
76561198079601835,,True
MeaTCompany,,True
76561198089393905,"February 01, 2015",True
76561198089393905,"June 20, 2014",True
76561198156664158,,True
76561198077246154,,True
76561198077246154,"August 25, 2014",True
WeiEDKrSat,"December 25, 2013",True
thequeenpanda,"June 23, 2012",True
death-hunter,"September 05, 2015",True
death-hunter,"March 30, 2015",True
death-hunter,"February 19, 2014",True
DJKamBer,"July 14, 2014",True
DJKamBer,"April 27, 2013",True
DJKamBer,"July 20, 2015",True
DJKamBer,"November 04, 2013",True
DJKamBer,"July 12, 2013",True
DJKamBer,"August 19, 2012",True
Rainbow-Dashie,"June 19, 2015",True
Rainbow-Dashie,"September 20, 2014",True
Rainbow-Dashie,"September 07, 2014",True
76561198043472122,"December 19, 2014",False
MarbleShrine,"February 17, 2015",True
PPanther,"June 07, 2014",True
devvonst,"February 12, 2014",True
devvonst,"February 09, 2014",True
devvonst,"October 31, 2015",True
Fr0stedLine,,True
starkillershadow553,"February 04, 2015",True
starkillershadow553,,True
starkillershadow553,"April 05, 2014",True
76561198058373434,"January 08, 2015",True
76561198048353577,"October 26, 2015",True
76561198048353577,,True
76561198048353577,"March 20, 2013",True
76561198066046412,"December 28, 2015",False
76561198066046412,"May 19, 2015",True
tru_mu_,"December 15, 2015",True
76561198070565427,,True
76561198070565427,"August 21, 2015",True
76561198070565427,"October 17, 2014",True
76561198070565427,"June 27, 2014",False
76561198070565427,"April 28, 2014",True
SavageEeEe,"November 12, 2015",True
76561198076909484,"June 18, 2014",True
KanadeTheNeko,"November 20, 2014",True
KanadeTheNeko,"May 29, 2014",True
Leaf_Light_Moscow,,True
GoAwayZach,"December 29, 2014",True
76561198054540475,"February 13, 2015",True
76561198054540475,"December 26, 2014",True
76561198054540475,"February 04, 2014",True
76561198085547365,,True
76561198085547365,,True
76561198061252210,"May 21, 2015",True
OfficialShroomsy,"December 06, 2013",True
boydeer,"May 12, 2014",True
boydeer,"August 24, 2015",False
VVillis,"January 06, 2015",True
76561198083226897,"December 22, 2015",True
76561198075277292,"June 23, 2015",True
76561198075277292,"September 11, 2015",True
76561198028895010,"April 22, 2013",True
76561198028895010,"May 27, 2012",True
76561198170198366,,True
diego9031,,True
diego9031,,True
diego9031,"December 05, 2015",True
diego9031,"October 04, 2015",True
diego9031,"October 03, 2015",True
diego9031,"August 13, 2015",True
diego9031,"February 22, 2015",True
diego9031,"January 14, 2015",True
diego9031,"December 14, 2013",True
diego9031,"December 01, 2013",True
jarrodtrim,"February 11, 2012",True
76561198078738103,,True
76561198067936203,"March 12, 2015",True
76561198079770573,"October 14, 2015",True
76561198087586464,"October 27, 2013",True
Derp-e,"November 27, 2015",True
76561198070194565,"October 09, 2014",True
76561198070194565,,True
76561198070194565,,True
76561198070194565,,True
76561198070194565,,True
76561198070194565,,True
76561198070194565,"November 09, 2015",True
Rivtex,"December 23, 2015",True
UTNerd24,"May 06, 2014",True
UTNerd24,"December 02, 2015",True
UTNerd24,"June 06, 2015",True
